> Task :checkKotlinGradlePluginConfigurationErrors SKIPPED
> Task :processResources NO-SOURCE
> Task :compileKotlin
> Task :compileJava NO-SOURCE
> Task :classes UP-TO-DATE
> Task :cir2
processing k=19 [0, 2, 1, 0, 0, 0, 0] t=10m 0.016819333s
processing k=19 [0, 2, 2, 1, 1, 0, 3] t=20m 0.020533416s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0] t=30m 0.021072791s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 1] t=40m 0.021470666s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0] t=50m 0.021843041s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0] t=1h 0m 0.022217s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 2] t=1h 10m 0.022707416s
processing k=19 [0, 2, 0, 0, 0, 0, 0, 1] t=1h 20m 0.023179375s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0] t=1h 30m 0.023659625s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0] t=1h 40m 0.024138333s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 1] t=1h 50m 0.024710500s
processing k=19 [0, 2, 1, 0, 0, 0, 0, 0] t=2h 0m 0.025225666s
processing k=19 [0, 2, 1, 0, 0, 0, 0, 3] t=2h 10m 0.025641333s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0] t=2h 20m 0.026080375s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0] t=2h 30m 0.026495666s
processing k=19 [0, 2, 1, 1, 0, 0, 0, 0] t=2h 40m 0.026950500s
processing k=19 [0, 2, 1, 1, 0, 0, 0, 1] t=2h 50m 0.027397500s
processing k=19 [0, 3, 1, 0, 0, 0, 0, 0] t=3h 0m 0.027900416s
processing k=19 [0, 1, 1, 1, 1, 1, 0, 1] t=3h 10m 0.028396916s
processing k=19 [0, 2, 1, 1, 1, 0, 0, 2] t=3h 20m 0.028813541s
processing k=19 [0, 3, 1, 1, 0, 0, 0, 1] t=3h 30m 0.029542625s
processing k=19 [0, 2, 2, 1, 1, 0, 0, 0] t=3h 40m 0.029986750s
processing k=19 [0, 4, 1, 1, 0, 0, 0, 1] t=3h 50m 0.030445750s
processing k=19 [0, 2, 2, 2, 2, 0, 0, 0] t=4h 0m 0.030926791s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0] t=4h 10m 0.031349500s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0] t=4h 20m 0.031790125s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0] t=4h 30m 0.032233625s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0] t=4h 40m 0.032729333s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0] t=4h 50m 0.033756083s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0] t=5h 0m 0.034269666s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0] t=5h 10m 0.034685916s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0] t=5h 20m 0.035180458s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 0] t=5h 30m 0.035642583s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 1] t=5h 40m 0.036100875s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 1] t=5h 50m 0.036568250s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 1] t=6h 0m 0.037021958s
processing k=19 [0, 1, 0, 0, 0, 0, 0, 0, 2] t=6h 10m 0.037524250s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0] t=6h 20m 0.037956875s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0] t=6h 30m 0.038362s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0] t=6h 40m 0.038674500s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0] t=6h 50m 0.039037166s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0] t=7h 0m 0.039385458s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0] t=7h 10m 0.040166083s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0] t=7h 20m 0.040675875s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0] t=7h 30m 0.041043666s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0] t=7h 40m 0.041236666s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0] t=7h 50m 0.041403208s
processing k=19 [0, 1, 1, 0, 0, 0, 0, 0, 0] t=8h 0m 0.041669875s
